image,label
data_given\Dog\7801.jpg,1
data_given\Cat\8745.jpg,0
data_given\Cat\9260.jpg,0
data_given\Dog\11006.jpg,1
data_given\Cat\7500.jpg,0
data_given\Cat\57.jpg,0
data_given\Cat\7926.jpg,0
data_given\Cat\1188.jpg,0
data_given\Cat\6099.jpg,0
data_given\Dog\4798.jpg,1
data_given\Dog\11467.jpg,1
data_given\Cat\4189.jpg,0
data_given\Cat\4332.jpg,0
data_given\Cat\9567.jpg,0
data_given\Cat\4991.jpg,0
data_given\Dog\5782.jpg,1
data_given\Dog\337.jpg,1
data_given\Cat\394.jpg,0
data_given\Dog\9384.jpg,1
data_given\Dog\11873.jpg,1
data_given\Cat\8183.jpg,0
data_given\Dog\7006.jpg,1
data_given\Cat\6398.jpg,0
data_given\Cat\3558.jpg,0
data_given\Dog\47.jpg,1
data_given\Dog\3270.jpg,1
data_given\Dog\714.jpg,1
data_given\Dog\82.jpg,1
data_given\Cat\8197.jpg,0
data_given\Dog\7990.jpg,1
data_given\Cat\3378.jpg,0
data_given\Dog\306.jpg,1
data_given\Cat\10210.jpg,0
data_given\Cat\12068.jpg,0
data_given\Dog\8196.jpg,1
data_given\Dog\10407.jpg,1
data_given\Dog\11613.jpg,1
data_given\Dog\10706.jpg,1
data_given\Cat\5550.jpg,0
data_given\Dog\8611.jpg,1
data_given\Dog\188.jpg,1
data_given\Cat\8424.jpg,0
data_given\Cat\4190.jpg,0
data_given\Cat\1235.jpg,0
data_given\Cat\4339.jpg,0
data_given\Cat\5298.jpg,0
data_given\Cat\1794.jpg,0
data_given\Dog\11139.jpg,1
data_given\Cat\5145.jpg,0
data_given\Dog\11342.jpg,1
data_given\Cat\5437.jpg,0
data_given\Dog\1999.jpg,1
data_given\Dog\8827.jpg,1
data_given\Dog\932.jpg,1
data_given\Cat\6873.jpg,0
data_given\Cat\5927.jpg,0
data_given\Dog\9066.jpg,1
data_given\Dog\8010.jpg,1
data_given\Cat\6557.jpg,0
data_given\Cat\1808.jpg,0
data_given\Cat\8530.jpg,0
data_given\Dog\8730.jpg,1
data_given\Dog\7144.jpg,1
data_given\Dog\11657.jpg,1
data_given\Cat\2346.jpg,0
data_given\Cat\1462.jpg,0
data_given\Dog\10967.jpg,1
data_given\Dog\11801.jpg,1
data_given\Cat\10619.jpg,0
data_given\Cat\9686.jpg,0
data_given\Dog\8561.jpg,1
data_given\Cat\8996.jpg,0
data_given\Dog\1952.jpg,1
data_given\Cat\2826.jpg,0
data_given\Dog\5318.jpg,1
data_given\Cat\9578.jpg,0
data_given\Dog\7667.jpg,1
data_given\Cat\5998.jpg,0
data_given\Dog\12147.jpg,1
data_given\Dog\3179.jpg,1
data_given\Cat\3041.jpg,0
data_given\Cat\4603.jpg,0
data_given\Dog\8085.jpg,1
data_given\Cat\11691.jpg,0
data_given\Dog\1612.jpg,1
data_given\Dog\11279.jpg,1
data_given\Dog\3687.jpg,1
data_given\Dog\4108.jpg,1
data_given\Dog\350.jpg,1
data_given\Cat\1421.jpg,0
data_given\Dog\11534.jpg,1
data_given\Dog\2096.jpg,1
data_given\Dog\2580.jpg,1
data_given\Dog\9817.jpg,1
data_given\Cat\9294.jpg,0
data_given\Cat\447.jpg,0
data_given\Cat\4620.jpg,0
data_given\Cat\7093.jpg,0
data_given\Cat\7821.jpg,0
data_given\Cat\7587.jpg,0
data_given\Cat\9039.jpg,0
data_given\Cat\321.jpg,0
data_given\Cat\7121.jpg,0
data_given\Cat\2723.jpg,0
data_given\Dog\8452.jpg,1
data_given\Cat\11961.jpg,0
data_given\Cat\6098.jpg,0
data_given\Cat\2528.jpg,0
data_given\Cat\2232.jpg,0
data_given\Dog\2025.jpg,1
data_given\Dog\6408.jpg,1
data_given\Cat\6055.jpg,0
